procode,year
5DQ,2002
5DQ,2003
5DQ,2004
5PK,2006
5PK,2007
5PK,2008
R0A,2017
R0A,2018
R1F,2015
R1F,2016
R1F,2017
RA2,2001
RA2,2009
RAJ,2003
RAJ,2004
RAJ,2005
RAJ,2008
RAJ,2009
RAJ,2010
RAJ,2011
RAJ,2012
RAJ,2013
RAJ,2014
RAJ,2015
RAJ,2016
RAJ,2017
RAJ,2018
RAJ,2019
RAL,1998
RAS,2014
RAS,2015
RAS,2016
RAS,2017
RAS,2018
RAS,2019
RAS,2020
RAS,2021
RAS,2022
RBD,2000
RBD,2001
RBD,2002
RBD,2014
RBD,2015
RBD,2016
RBD,2017
RBD,2018
RBD,2019
RBD,2020
RBD,2021
RBK,2014
RBK,2015
RBK,2016
RBL,2002
RBL,2003
RBL,2010
RBL,2011
RBL,2012
RC3,2014
RC9,2014
RC9,2015
RC9,2016
RC9,2017
RC9,2018
RCD,2000
RCD,2001
RCD,2002
RCD,2010
RCD,2011
RCD,2012
RCD,2013
RCD,2014
RCD,2015
RCD,2016
RCD,2017
RCD,2018
RCD,2019
RCD,2020
RCD,2021
RCD,2022
RCF,2000
RCF,2001
RDD,2013
RDD,2014
RDD,2015
RDD,2016
RDD,2017
RE9,2015
RE9,2016
RE9,2017
REP,2004
REP,2005
REP,2006
REP,2007
REP,2010
REP,2011
REP,2012
REP,2015
REP,2016
REP,2017
REP,2018
REP,2019
RFF,2014
RFF,2015
RFS,2015
RFS,2016
RFS,2019
RFS,2020
RFS,2021
RFS,2022
RGB,2000
RGR,2014
RGR,2015
RGR,2016
RGR,2017
RGZ,2001
RGZ,2002
RGZ,2008
RGZ,2009
RH8,2014
RH8,2015
RH8,2016
RH8,2017
RHQ,2016
RHQ,2017
RHQ,2018
RHQ,2019
RHQ,2020
RHQ,2021
RHQ,2022
RHU,2015
RHU,2016
RHU,2017
RHU,2018
RHW,2015
RHW,2016
RJ1,2002
RJ1,2003
RJ1,2004
RJ1,2005
RJ1,2006
RJ1,2007
RJ1,2008
RJ1,2013
RJ1,2014
RJ1,2015
RJ2,2014
RJ6,1996
RJR,2002
RJR,2014
RJR,2015
RJR,2016
RKB,2001
RKB,2005
RKB,2006
RKB,2021
RKB,2022
RLN,2001
RLN,2002
RLN,2003
RLN,2004
RLN,2005
RLN,2006
RLN,2007
RLN,2008
RLN,2009
RLN,2010
RLN,2011
RLN,2012
RLN,2015
RLN,2016
RLT,2015
RLT,2016
RLT,2017
RLT,2018
RLT,2019
RLT,2020
RLT,2021
RLT,2022
RLW,2000
RLW,2001
RLW,2002
RM1,2018
RM1,2019
RM1,2020
RM1,2021
RM1,2022
RM2,2002
RM2,2003
RM2,2004
RM2,2005
RM2,2006
RN3,2003
RN3,2004
RN3,2005
RN3,2006
RN3,2007
RN3,2008
RN3,2009
RN3,2011
RN3,2012
RN3,2015
RN3,2016
RN3,2017
RNQ,2013
RNQ,2014
RNQ,2015
RNQ,2016
RNQ,2017
RNQ,2018
RNQ,2019
RNQ,2020
RNQ,2021
RNQ,2022
RNS,2014
RNS,2015
RNS,2016
RQ8,2018
RQ8,2019
RQ8,2020
RQM,2003
RQM,2004
RQM,2007
RQW,2000
RQW,2001
RQW,2002
RQW,2003
RR7,2000
RR7,2001
RR8,2015
RR8,2016
RR8,2017
RR8,2018
RR8,2019
RR8,2020
RR8,2021
RR8,2022
RRE,2001
RRE,2002
RTD,2014
RTD,2015
RTD,2016
RTD,2017
RTD,2018
RTE,2018
RTE,2019
RTE,2020
RTE,2021
RTE,2022
RTR,2014
RTX,2013
RTX,2014
RTX,2015
RTX,2016
RTX,2017
RVJ,2019
RVJ,2020
RVJ,2021
RVR,2017
RVR,2018
RVR,2019
RVR,2020
RVR,2021
RVR,2022
RVV,2014
RVV,2015
RVV,2016
RVV,2017
RW3,2013
RW3,2014
RW3,2015
RW3,2016
RW3,2017
RWE,2009
RWF,2015
RWF,2016
RWG,2002
RWG,2003
RWG,2004
RWP,2003
RWY,2017
RWY,2018
RWY,2019
RWY,2020
RWY,2021
RWY,2022
RXC,2014
RXC,2015
RXC,2016
RXH,2014
RXH,2015
RXH,2016
RXH,2017
RXH,2018
RXH,2019
RXH,2020
RXH,2021
RXP,2015
RXR,2015
RXR,2016
RXR,2017
RXR,2018
